Name,Information
Cuban Tody, The Cuban Tody is a small; brightly colored bird found only in Cuba. They are known for their distinctive; high-pitched calls.
Cuban Trogon, The Cuban Trogon is a brightly colored bird found only in Cuba. They are known for their distinctive calls and are considered a national symbol of Cuba.
Curl Crested Aracuri, The Curl Crested Aracuri is a medium-sized toucan found in Central and South America. They are known for their brightly colored bill and distinctive curled crest of feathers.
D'Arnaud's Barbet, D'Arnaud's Barbet is a small; brightly colored bird found in sub-Saharan Africa. They are known for their distinctive calls and are often found in groups.
Dalmatian Pelican, The Dalmatian Pelican is a large; white pelican found in Europe and Asia. They are known for their distinctive bright yellow-orange pouch under their bill.
Darjeeling Woodpecker, The Darjeeling Woodpecker is a medium-sized woodpecker found in the Himalayas. They are known for their distinctive red and black plumage and are found in forested areas.
Dark Eyed Junco, The Dark Eyed Junco is a small; sparrow-like bird found across North America. They are known for their distinctive gray and white plumage.
Daurian Redstart, The Daurian Redstart is a small; brightly colored bird found in Asia. Males have a bright red breast; while females have a brownish-grey breast.
Demoiselle Crane, The Demoiselle Crane is a medium-sized crane found in Asia and Europe. They are known for their distinctive dancing displays during breeding season.
Double Barred Finch, The Double Barred Finch is a small; passerine bird found in Australia. They are known for their distinctive black and white plumage and are often kept as pets.
Double Breasted Cormorant, The Double Breasted Cormorant is a medium-sized seabird found in North America. They are known for their distinctive black and white plumage and are often seen diving for fish.
Double Eyed Fig Parrot, The Double Eyed Fig Parrot is a small; brightly colored parrot found in Australia. They are known for their distinctive green and red plumage and are often found in fig trees.
Downy Woodpecker, The Downy Woodpecker is a small woodpecker found across North America. They are known for their distinctive black and white plumage and are often found in wooded areas.
Dusky Lory, The Dusky Lory is a small; brightly colored parrot found in Indonesia and Papua New Guinea. They are known for their distinctive purple and green plumage and are often kept as pets.
Dusky Robin, The Dusky Robin is a small bird that is native to South America; primarily found in Argentina and Chile. This bird has a dark gray-brown plumage with a white throat and a distinctive reddish-orange bill. They are typically found in forested areas and are known for their melodic singing.
Eared Pita, The Eared Pita is a bird that is found in Southeast Asia; primarily in Indonesia and Malaysia. They are known for their distinctive appearance; with a bright blue head and chest; a green back; and a red belly. They are ground-dwelling birds and are often found in dense forested areas.
Eastern Bluebird, The Eastern Bluebird is a small bird that is native to North America; primarily found in the eastern United States. They are known for their bright blue plumage and rusty red breast. They are cavity nesters and are often found nesting in old woodpecker holes or birdhouses.
Eastern Bluebonnet, The Eastern Bluebonnet is a small bird that is native to Texas; primarily found in the central and eastern regions of the state. They are known for their striking blue and white plumage; with a distinctive white tip on their tail. They are often found in grasslands and prairies.
Eastern Golden Weaver, The Eastern Golden Weaver is a bird that is found in Africa; primarily in eastern and southern regions. They are known for their bright yellow plumage and intricate nests; which are woven from grasses and leaves. They are typically found in savannah and grassland habitats.
Eastern Meadowlark," The Eastern Meadowlark is a bird that is native to North America; primarily found in the eastern United States. They are known for their distinctive yellow breast and black ""V"" on their chest. They are often found in grasslands and meadows."
Eastern Rosella, The Eastern Rosella is a bird that is native to Australia; primarily found in the eastern and southeastern regions. They are known for their brightly colored plumage; with a red head; yellow cheeks; and blue wings. They are often found in forested areas and are popular as pets.
Eastern Towee," The Eastern Towee is a bird that is native to North America; primarily found in the eastern and southeastern regions. They are known for their distinctive black hood and red eyes. They are often found in brushy areas and are known for their distinctive ""drink your tea"" call."
Eastern Whip-poor-will," The Eastern Whip-poor-will is a bird that is native to North America; primarily found in the eastern United States. They are known for their distinctive call; which sounds like ""whip-poor-will"". They are often found in forested areas and are active at night."
Eastern Yellow Robin, The Eastern Yellow Robin is a bird that is native to Australia; primarily found in the eastern and southeastern regions. They are known for their bright yellow plumage and are often found in forested areas. They are popular with birdwatchers for their distinctive singing.
Ecuadorian Hillstar, The Ecuadorian Hillstar is a bird that is found in South America; primarily in Ecuador and Colombia. They are known for their distinctive plumage; with a green back and a bright red throat. They are typically found in high-altitude habitats; such as mountain forests.
Egyptian Goose, The Egyptian Goose is a bird that is native to Africa; primarily found in the eastern and southern regions. They are known for their distinctive brown and white plumage; with a bright pink bill. They are often found near water and are known for their aggressive behavior.
Elegant Trogon, The Elegant Trogon is a brightly colored bird found in the southwestern United States and Mexico. The male has a distinctive metallic green head; bright red breast; and white belly; while the female is less colorful with a brownish back and wings and a grayish head.
Elliot's Pheasant, Elliot's Pheasant is a large; colorful bird found in China and Vietnam. The male has a bright blue head and neck; a green breast; and a long; barred tail. The female is less colorful; with brown and black markings.
Emerald Tanager, The Emerald Tanager is a small; brightly colored bird found in Central and South America. The male is a bright green with black wings; while the female is more yellow-green with brown wings.
Emperor Penguin, The Emperor Penguin is the largest of all penguins; found in Antarctica. They have black and white feathers; a distinctive yellow patch on their chest; and a streamlined body adapted for swimming and diving.
Emu, The Emu is the second-largest bird in the world; found in Australia. They have brown feathers; long necks; and strong legs used for running and kicking.
Enggano Myna, The Enggano Myna is a small; black and white bird found only on the island of Enggano in Indonesia.
Eurasian Bullfinch, The Eurasian Bullfinch is a small; brightly colored bird found across Europe and Asia. The male has a bright red breast; gray back; and black cap; while the female has a more muted brown and gray coloration.
Eurasian Golden Oriole, The Eurasian Golden Oriole is a brightly colored bird found across Europe and Asia. The male has a bright yellow body and black wings; while the female has a more muted yellow-green coloration.
Eurasian Magpie, The Eurasian Magpie is a black and white bird found across Europe and Asia. They are known for their intelligence and often steal shiny objects to add to their nests.
European Goldfinch, The European Goldfinch is a small; brightly colored bird found across Europe and Asia. They have a red face; black and white wings; and yellow markings on their body.
European Turtle Dove, The European Turtle Dove is a small; brown and gray bird found across Europe and Asia. They have a distinctive purring call and are known for their migratory habits.
Evening Grosbeak, The Evening Grosbeak is a brightly colored bird found in North America. The male has a yellow forehead and black and white wings; while the female is more muted with olive and yellow markings.
Fairy Bluebird, The Fairy Bluebird is a brightly colored bird found in Southeast Asia. The male has a bright blue body and black wings; while the female has a more muted blue-gray coloration.
Fairy Penguin, Also known as the Little Penguin; these small penguins are found in coastal areas of southern Australia and New Zealand. They have blue-grey feathers and are the smallest of all penguin species.
Fairy Tern, This bird is a small white tern with a distinctive black cap and bill. They are found in coastal regions of Australia; New Zealand; and some Pacific islands.
Fan Tailed Widow, This bird is a small; finch-like bird found in parts of South America. It has a black body and a distinctive fan-shaped tail.
Fasciated Wren, This bird is a small wren found in South America. It has a distinctive black and white striped head and a brownish body.
Fiery Minivet, This bird is a colorful passerine bird found in parts of Asia. The male has bright orange-red plumage; while the female has yellowish-green plumage.
Fiordland Penguin, This penguin is found in the southwestern part of New Zealand's South Island. It has a bluish-grey back and white underbelly.
Fire-tailed Myzornis, This small bird is found in parts of Asia. It has a distinctive bright red-orange tail and greenish-yellow plumage.
Flame Bowerbird, This bird is found in the rainforests of New Guinea and has striking orange-red plumage. The male builds an elaborate bower to attract females.
Flame Tanager, This bird is found in parts of South America and has bright red-orange plumage with black wings.
Forest Wagtail, This bird is found in parts of Asia and has a distinctive long; black and white tail. It is often found near water.
Frigate, This bird is a type of seabird found in tropical and subtropical oceans. They have long; pointed wings and are known for stealing food from other birds.
Frill-Back Pigeon, This breed of domestic pigeon has frilled feathers on its neck and chest; giving it a distinctive appearance.
Gambel's Quail, This bird is a small; ground-dwelling bird found in parts of the southwestern United States and Mexico. It has a plump body and a distinctive topknot on its head.
Gang Gang Cockatoo, This bird is a small cockatoo found in parts of Australia. The male has a distinctive red head and crest; while the female has a grey head.
Gila Woodpecker, This bird is found in parts of the southwestern United States and Mexico. It has a distinctive black and white striped back and is known for excavating nests in cacti.
Gilded Flicker, The Gilded Flicker is a large woodpecker found in the southwestern United States and Mexico. They are known for their striking black-and-gold plumage and their habit of excavating nest cavities in saguaro cactus.
Glossy Ibis, The Glossy Ibis is a wading bird found in wetlands throughout the world. They are named for their shiny; iridescent plumage and are known for their long; curved bill.
Go Away Bird," The Go Away Bird; also known as the Grey Lourie; is a species of bird found in sub-Saharan Africa. They are named for their distinctive call; which sounds like ""go away""."
Gold Wing Warbler, The Golden-winged Warbler is a small bird found in North America. They are known for their yellow-and-black plumage and their distinctive buzzing song.
Golden Bowerbird, The Golden Bowerbird is a species of bird found in Australia. They are known for their elaborate courtship displays; in which males construct elaborate bowers and decorate them with bright; shiny objects.
Golden-Cheeked Warbler, The Golden-cheeked Warbler is a small bird found in central Texas. They are known for their striking yellow-and-black plumage and their habit of nesting exclusively in juniper-oak woodlands.
Golden Chlorophonia, The Golden Chlorophonia is a species of bird found in Central and South America. They are known for their bright yellow-green plumage and their distinctive high-pitched call.
Golden Eagle, The Golden Eagle is a large bird of prey found throughout the northern hemisphere. They are known for their impressive size and strength; and are often considered a symbol of power and freedom.
Golden Parakeet, The Golden Parakeet; also known as the Guacamaya; is a species of bird found in the Amazon rainforest. They are known for their bright yellow-and-green plumage and their ability to mimic human speech.
Golden Pheasant, The Golden Pheasant is a bird native to forests in western China. They are known for their strikingly colorful plumage; which features a bright red body; golden-yellow crest; and intricate patterning on their wings.
Golden Pipit, The Golden Pipit is a species of bird found in sub-Saharan Africa. They are known for their striking yellow plumage and their distinctive habit of running instead of flying.
Gouldian Finch, The Gouldian Finch is a small bird found in Australia. They are known for their bright; multicolored plumage and their habit of nesting in tree hollows.
Grandala, The Grandala is a species of bird found in the Himalayas. They are known for their distinctive blue-gray plumage and their habit of nesting in cliff crevices.
Gray Catbird, The Gray Catbird is a small bird found in North America. They are known for their gray plumage and their habit of mimicking the songs of other birds.
Gray Kingbird, The Gray Kingbird is a species of bird found in the Caribbean and Central and South America. They are known for their gray-and-white plumage and their distinctive habit of perching high up in trees.
Gray Partridge, Also known as the Hungarian partridge; this game bird is native to Europe and Asia; but has been introduced to many parts of North America. They are often found in agricultural areas and feed on a variety of plants; seeds; and insects.
Great Argus, This large pheasant is found in Southeast Asia and is known for its elaborate courtship display; in which the male spreads its wings to reveal large; eye-like spots on its feathers. They primarily feed on fruits; seeds; and insects.
Great Gray Owl, This iconic owl is one of the largest in North America and can be found in boreal forests across the northern hemisphere. They have distinctive facial disks and hunt primarily at night; feeding on small mammals such as rodents and rabbits.
Great Jacamar, Found in Central and South America; this colorful bird is known for its long; sharp bill; which it uses to catch insects in flight. They are often found in forests and are known for their distinctive calls.
Great Kiskadee, This large; noisy flycatcher is found throughout Central and South America and is known for its distinctive yellow and black plumage. They primarily feed on insects and small vertebrates.
Great Potoo, This nocturnal bird is found in Central and South America and is known for its camouflage and ability to remain motionless for long periods of time. They primarily feed on insects and have a distinctive; eerie call.
Great Tinamou, This flightless bird is found in Central and South America and is known for its mottled brown plumage. They primarily feed on seeds and insects and are often hunted for food.
Great Xenops, Found in Central and South America; this small bird is known for its distinctive; downward-curved bill; which it uses to extract insects from tree bark. They are often found in forests and are known for their distinctive calls.
Greater Pewee," This large flycatcher is found in North and South America and is known for its distinctive call; which sounds like ""pee-a-wee."" They primarily feed on insects and are often found near water."
Greater Prairie Chicken, This medium-sized grouse is found in North America and is known for its elaborate courtship displays; which involve inflating bright orange air sacs on its neck. They primarily feed on seeds and insects and are often found in grasslands.
Greater Sage Grouse, This iconic bird is found in sagebrush habitats across the western United States and Canada. They are known for their elaborate courtship displays and distinctive; spiky tail feathers. They primarily feed on sagebrush leaves and other vegetation.
Green Broadbill, This colorful bird is found in Southeast Asia and is known for its distinctive; broad bill; which it uses to catch insects in flight. They primarily feed on fruit and insects and are often found in forests.
Green Jay, This large; colorful bird is found in Central and South America and is known for its distinctive green and blue plumage. They primarily feed on insects and fruit and are often found in forests and woodlands.
Green Magpie, This colorful bird is found in Southeast Asia and is known for its bright green and blue plumage. They primarily feed on insects and fruit and are often found in forests.
Green-winged Dove, This medium-sized dove is found in Southeast Asia and is known for its distinctive green wings. They primarily feed on seeds and fruit and are often found in forests and gardens.
Grey Cuckooshrike, The Grey Cuckooshrike is a small bird found in Asia; Australia; and the Pacific. They are known for their striking grey plumage and hooked bills. They feed on insects and small fruits and are known for their distinctive call.
Grey Headed Fish Eagle, The Grey Headed Fish Eagle is a large bird of prey found in Asia. They are known for their distinctive grey head and white belly. They feed primarily on fish and are often found near bodies of water.
Grey Plover, The Grey Plover is a medium-sized wading bird found in coastal areas around the world. They are known for their grey-brown plumage and distinctive black and white markings on their chest. They feed on invertebrates and small crustaceans.
Groved Billed Ani, The Groved Billed Ani is a species of cuckoo found in the Caribbean and Central America. They are known for their distinctive grooved bills and black plumage. They are social birds and often nest in groups.
Guinea Turaco, The Guinea Turaco is a brightly colored bird found in West Africa. They are known for their bright green feathers and distinctive red crest. They feed on fruits and seeds and are often found in the canopy of trees.
Guineafowl, Guineafowl are a group of birds found in Africa. They are known for their distinctive spotted feathers and bare heads. They feed on insects; seeds; and small animals and are often kept as domesticated birds.
Gurneys Pitta, Gurneys Pitta is a small bird found in Southeast Asia. They are known for their brightly colored plumage and distinctive call. They feed on insects and small invertebrates and are threatened by habitat loss.
Gyrfalcon, The Gyrfalcon is a large bird of prey found in the Arctic and sub-Arctic regions of the world. They are known for their white feathers and impressive hunting abilities. They feed on birds and small mammals and are popular in falconry.
Hamerkop, The Hamerkop is a medium-sized bird found in Africa. They are known for their distinctive hammer-shaped head and long bills. They feed on fish; insects; and small animals and are often found near water.
Harlequin Duck, The Harlequin Duck is a small sea duck found in North America and Eurasia. They are known for their brightly colored plumage and distinctive markings. They feed on small fish and crustaceans and are threatened by habitat loss.
Harlequin Quail, The Harlequin Quail is a small bird found in Southeast Asia. They are known for their distinctive plumage and bright red eyes. They feed on seeds and insects and are often hunted for food.
Harpy Eagle, The Harpy Eagle is a large bird of prey found in Central and South America. They are known for their impressive size and strength and are considered one of the most powerful birds in the world. They feed on monkeys and other large mammals.
Hawaiian Goose, The Hawaiian Goose; or Nene; is a medium-sized goose found only in Hawaii. They are known for their distinctive honking call and brown and black plumage. They feed on grasses and are threatened by habitat loss.
Hawfinch, The Hawfinch is a small bird found in Europe and Asia. They are known for their thick; powerful bills and distinctive plumage. They feed on seeds and insects and are often found in wooded areas.
Helmet Vanga, The Helmet Vanga is a bird found only in Madagascar. They are known for their distinctive black and white plumage and bright blue eyes. They feed on insects and are threatened by habitat loss.
Hepatic Tanager, The Hepatic Tanager is a small; brightly-colored bird that is native to North and Central America. The males have a striking red plumage; while the females are a duller yellowish-green color. They can be found in a variety of habitats; including forests; woodlands; and even desert areas.
Himalayan Bluetail, The Himalayan Bluetail is a small bird that is native to the Himalayan region. They have a distinctive blue tail; which contrasts with their brownish-grey body. They are typically found in mountainous areas; where they inhabit forests and shrubby areas.
Himalayan Monal, The Himalayan Monal is a large; brightly-colored bird that is native to the Himalayan region. The males have a striking plumage; with metallic green; blue; and copper feathers; while the females are a more subdued brownish-grey color. They can be found in a variety of habitats; including forests and grasslands.
Hoatzin," The Hoatzin is a unique bird that is native to the Amazon basin. They have a distinctive appearance; with a spiky crest on their head and a pungent odor that has earned them the nickname ""Stinkbird"". They are primarily vegetarian and can be found in swampy areas; where they feed on leaves and fruits."
Hooded Merganser, The Hooded Merganser is a small; diving duck that is native to North America. The males have a distinctive black and white crest on their head; which they can raise and lower depending on their mood. They can be found in wetlands and forested areas; where they feed on fish and other aquatic creatures.
Hoopoes, The Hoopoe is a medium-sized bird that is native to Eurasia and Africa. They have a distinctive crown of feathers on their head and a long; thin bill. They can be found in a variety of habitats; including forests; savannas; and even urban areas.
Horned Guan, The Horned Guan is a large; striking bird that is native to the highland forests of Central America. They have a distinctive horn-like structure on their head and a bright red wattle under their bill. They are primarily arboreal and can be found in mountainous areas; where they feed on fruits and insects.
Horned Lark, The Horned Lark is a small; ground-dwelling bird that is native to North America and Eurasia. They have a distinctive black and yellow facial pattern and a brownish-grey body. They can be found in a variety of habitats; including grasslands; agricultural fields; and even deserts.
Horned Sungem, The Horned Sungem is a small; brightly-colored hummingbird that is native to South America. The males have a distinctive horn-like structure on their forehead and a metallic green and blue plumage. They can be found in mountainous areas; where they feed on nectar from flowers.
House Finch, The House Finch is a small; brightly-colored bird that is native to North America. The males have a reddish color on their head and breast; while the females are a more subdued brownish-grey color. They are commonly found in urban and suburban areas; where they feed on seeds and fruits.
House Sparrow, The House Sparrow is a small; brownish-grey bird that is native to Eurasia. They are common in urban and suburban areas; where they feed on seeds and grains. They have adapted well to human habitats and are often found nesting in buildings and other man-made structures.
Hyacinth Macaw, The Hyacinth Macaw is the largest of all macaw species and is native to central and eastern South America. They are known for their striking blue feathers and powerful beak; which they use to crack open nuts and seeds. Unfortunately; the Hyacinth Macaw is considered to be a critically endangered species due to habitat loss and poaching.
Iberian Magpie, The Iberian Magpie is a colorful bird that is found in the Iberian Peninsula; which includes Spain and Portugal. They are known for their distinctive black and white plumage with blue and green iridescence on their wings. Iberian Magpies are highly social birds and often form large flocks.
Ibisbill, The Ibisbill is a unique bird found in the mountainous regions of Central Asia. It has a long; curved bill that it uses to probe the rocky riverbeds for insects and other small prey. The Ibisbill is known for its distinctive call; which is a loud; ringing whistle.
Imperial Shag, The Imperial Shag is a species of cormorant that is found along the southern coast of South America. They have glossy black feathers and a distinctive tuft of feathers on their forehead. Imperial Shags are skilled divers and can swim to depths of up to 30 meters in search of fish.
Inca Tern, The Inca Tern is a striking bird that is found along the coasts of Peru and Chile. They have a distinctive moustache-like feather tuft that extends from their beak. Inca Terns are known for their acrobatic flying displays and their ability to catch fish by diving into the water.
Indian Bustard, The Indian Bustard is a large bird that is found in the grasslands of India and Pakistan. It is a critically endangered species due to habitat loss and hunting. Indian Bustards are known for their elaborate courtship displays; which involve puffing up their feathers and dancing.
Indian Pitta, The Indian Pitta is a colorful bird found in the forests of the Indian subcontinent. It has a striking mix of green; blue; and red feathers; and is known for its distinctive call. Indian Pittas are shy birds and are rarely seen out in the open.
Indian Roller, The Indian Roller is a medium-sized bird found throughout the Indian subcontinent. It has a distinctive blue and green plumage and is known for its impressive aerial acrobatics. Indian Rollers are commonly found perched on telephone wires or tree branches.
Indian Vulture, The Indian Vulture is a large bird of prey that is found in South Asia. It is a critically endangered species due to habitat loss and poisoning from eating carcasses of animals that have been treated with the drug diclofenac. Indian Vultures are scavengers and play an important role in keeping the environment clean.
Indigo Bunting, The Indigo Bunting is a small bird found in North America. The male is known for its striking blue plumage; while the female is a duller brown. Indigo Buntings are migratory birds and spend their winters in Central and South America.
Indigo Flycatcher, The Indigo Flycatcher is a small bird found in Mexico and Central America. It has a distinctive indigo blue plumage and is known for its insect-catching abilities. Indigo Flycatchers are often found perched on low branches or flying through the forest canopy.
Inland Dotterel, The Inland Dotterel is a ground-dwelling bird found in the grasslands of Australia. It has a distinctive brown and white plumage and is known for its running speed. Inland Dotterels are often found in small groups and are able to survive.
Ivory-billed Aracari, The Ivory-billed Aracari is a species of toucan found in Central and South America. They have a distinctive black and white plumage with a bright yellow chest and red bill. They primarily eat fruit but will also consume insects and small animals.
Ivory Gull, The Ivory Gull is a species of seagull that breeds in the Arctic regions of Canada; Greenland; and Russia. They are known for their pure white plumage and black eyes. They feed primarily on fish and marine invertebrates.
Iwi, The Iwi; also known as the Scarlet Hawaiian Honeycreeper; is a small bird endemic to the Hawaiian Islands. They have bright red plumage with black wings and tail feathers. They primarily feed on nectar and insects.
Jabiru, The Jabiru is a large stork found in Central and South America. They have a distinctive black and white plumage and a long; thick bill. They feed on fish; amphibians; reptiles; and small mammals.
Jack Snipe, The Jack Snipe is a small wading bird found throughout Eurasia. They have a distinctive short bill and mottled brown and white plumage. They feed on insects; worms; and small mollusks.
Jacobin Pigeon, The Jacobin Pigeon is a breed of domestic pigeon known for its distinctive feathered hood that covers the back of its head. They were originally bred in India but are now kept as pets around the world.
Jandaya Parakeet, The Jandaya Parakeet is a small parrot found in South America. They have bright orange and yellow plumage with green wings and tail feathers. They primarily feed on fruit and seeds.
Japanese Robin, The Japanese Robin is a small songbird found in Japan; Korea; and China. They have a distinctive red breast and a gray-brown back. They feed on insects; spiders; and other small invertebrates.
Java Sparrow, The Java Sparrow is a small bird found in Indonesia. They have gray plumage with a distinctive pink bill and cheeks. They primarily feed on seeds and small insects.
Jocotoco Antpitta, The Jocotoco Antpitta is a small bird found in the Andes Mountains of South America. They have brown plumage with a distinctive white throat and chest. They primarily feed on insects and small invertebrates.
Kagu, The Kagu is a flightless bird found only in the forests of New Caledonia. They have a distinctive gray-blue plumage and a long; slender bill. They feed on insects; small reptiles; and crustaceans.
Kakapo, The Kakapo is a flightless parrot native to New Zealand. They have a distinctive green and yellow mottled plumage and a large; curved beak. They primarily feed on the leaves; bark; and seeds of native plants.
Killdeer, The Killdeer is a medium-sized plover bird that is found in North and South America. They have distinctive orange-brown bands around their neck and black and white stripes on their head. Killdeer are known for their loud; piercing calls and are often found near water sources.
King Eider, The King Eider is a large sea duck that breeds in the Arctic regions of North America and Eurasia. They have a striking appearance with a green head and a mix of black; white; and grey feathers on their body. King Eiders feed mainly on mollusks and crustaceans and are known to dive up to 30 meters deep in search of food.
King Vulture, The King Vulture is a large bird of prey that is found in Central and South America. They have a unique appearance with a brightly colored head that can range from red to yellow to orange. King Vultures are scavengers and feed on carrion; often competing with other vulture species for food.
Kiwi, The Kiwi is a flightless bird that is native to New Zealand. They have a distinctive appearance with a long; slender beak and small; vestigial wings. Kiwis are nocturnal and feed on insects and small invertebrates.
Kookaburra, The Kookaburra is a large; terrestrial kingfisher bird that is native to Australia and New Guinea. They have a distinctive call that sounds like human laughter and are often found near water sources. Kookaburras feed on a variety of prey; including small mammals; reptiles; and insects.
Lark Bunting, The Lark Bunting is a small sparrow-like bird that is found in North America. They have a black and white striped head and a brown body. Lark Buntings are ground-nesting birds and feed mainly on seeds and insects.
Laughing Gull, The Laughing Gull is a medium-sized gull that is found in North and South America. They have a distinctive black head and a white body with grey wings. Laughing Gulls are named for their distinctive call; which sounds like a high-pitched laugh.
Lazuli Bunting, The Lazuli Bunting is a small songbird that is found in western North America. They have a bright blue head and a brown body. Lazuli Buntings feed mainly on seeds and insects and are often found in open habitats such as meadows and fields.
Lesser Adjutant, The Lesser Adjutant is a large wading bird that is found in Southeast Asia. They have a distinctive bald head and a long; curved beak. Lesser Adjutants feed mainly on fish; reptiles; and small mammals.
Lilac Roller, The Lilac Roller is a medium-sized bird that is found in sub-Saharan Africa. They have a striking appearance with a lilac-blue head and a mix of blue; green; and brown feathers on their body. Lilac Rollers feed mainly on insects and small reptiles.
Limpkin, The Limpkin is a large wading bird that is found in the Americas. They have a distinctive appearance with a long; curved beak and a brown body with white spots. Limpkins feed mainly on snails and other freshwater mollusks.
Little Auk, The Little Auk is a small seabird that is found in the Arctic regions of the Northern Hemisphere. They have a distinctive appearance with a black and white body and a short; stubby beak. Little Auks feed mainly on small fish and plankton.
LOGGERHEAD SHRIKE, A medium-sized songbird found in North America; known for impaling its prey on thorns and barbed wire. Their numbers have been declining due to habitat loss and pesticide use.
LONG-EARED OWL, A medium-sized owl with prominent ear tufts found in North America; Europe; and Asia. They are nocturnal hunters; and their diet includes rodents; birds; and insects.
LOONEY BIRDS, This is not a specific bird species but a term sometimes used colloquially to refer to birds that exhibit unusual or erratic behavior; such as the behavior of some seabirds during breeding season.
LUCIFER HUMMINGBIRD, A small hummingbird found in Mexico and Central America; named after the fiery red feathers on its throat. They are known for their aerial acrobatics and fast flight.
MAGPIE GOOSE, A large waterbird found in northern Australia; New Guinea; and nearby islands. They have distinctive black and white plumage and a unique honking call.
MALABAR HORNBILL, A large; colorful hornbill found in India; Sri Lanka; and Southeast Asia. They have a long; curved bill and are known for their loud; raucous calls.
MALACHITE KINGFISHER, A small; brightly colored kingfisher found in sub-Saharan Africa. They are known for their distinctive green and blue plumage and their habit of diving into water to catch fish.
MALAGASY WHITE EYE, A small; insectivorous bird found only in Madagascar. They have white rings around their eyes and are known for their high-pitched calls.
MALEO, A large; ground-dwelling bird found only on the Indonesian island of Sulawesi. They are known for their distinctive appearance; with a large; curved beak and bare; red facial skin.
MALLARD DUCK, A medium-sized dabbling duck found in North America; Europe; and Asia. They are common in wetlands and are often hunted for sport or food.
MANDRIN DUCK, A colorful duck found in East Asia; known for the striking plumage of the male with its purple; green; and blue feathers. They are also popular in aviculture.
MANGROVE CUCKOO, A medium-sized cuckoo found in Central and South America; as well as in the Caribbean. They are known for their distinctive calls and for their habit of nesting in mangrove trees.
MARABOU STORK, A large; wading bird found in sub-Saharan Africa. They have a bald head and neck; and a large; hooked bill. They are scavengers and often feed on carrion.
MASKED BOBWHITE, A small quail found in Mexico and the southwestern United States. They have a distinctive black-and-white striped face pattern and are popular game birds.
MASKED BOOBY, A large seabird found in tropical and subtropical oceans around the world. They have white plumage with black markings on their wings and face.
MASKED LAPWING, A medium-sized wading bird found in Australia; New Zealand; and nearby islands. They have a distinctive black-and-white face pattern and a loud; ringing call.
MCKAYS BUNTING, A small songbird found in Alaska and eastern Siberia. They have brown and white plumage and are threatened by habitat loss and climate change.
MERLIN, A small falcon found in North America; Europe; and Asia. They are known for their speed and agility in flight; and often hunt small birds in mid-air.
Mikado Pheasant, The Mikado Pheasant is a large bird that is native to Japan. It is named after the Mikado; the emperor of Japan; and is known for its beautiful plumage. Males have bright red and yellow feathers on their heads and necks; while females are more drab in color.
Military Macaw, The Military Macaw is a large parrot that is native to Mexico and South America. It is named for its green plumage; which resembles military attire. These birds are known for their intelligence and ability to mimic human speech.
Mourning Dove, The Mourning Dove is a medium-sized bird that is found throughout North and Central America. It is known for its soft cooing call and is a common sight in suburban and rural areas. These birds are primarily seed eaters and can be attracted to backyard bird feeders.
Myna, The Myna is a bird species found in Asia and Africa. There are many different types of Myna; but all have distinctive yellow eyes and black or brown plumage. They are known for their ability to mimic human speech and are often kept as pets.
Nicobar Pigeon, The Nicobar Pigeon is a large; colorful bird that is found on islands in the South Pacific. It has iridescent green feathers on its neck and a striking blue and green pattern on its wings. These birds are known for their loud calls and can be found in small flocks.
Noisy Friarbird, The Noisy Friarbird is a large bird found in Australia and New Guinea. It has a distinctive bald patch on its head; and is named for its loud; raucous call. These birds feed on nectar and insects; and are important pollinators in their ecosystems.
Northern Beardless Tyrannulet, The Northern Beardless Tyrannulet is a small bird found in North and Central America. It has a distinctive white eye ring and a short; straight bill. These birds feed primarily on insects and are often found in forests and woodlands.
Northern Cardinal, The Northern Cardinal is a common bird found throughout North America. Males have bright red feathers; while females have more subdued brown feathers. These birds are known for their loud; melodious calls and can often be seen at backyard bird feeders.
Northern Flicker, The Northern Flicker is a medium-sized woodpecker found throughout North America. It has a distinctive black crescent on its chest and is known for its loud; ringing call. These birds feed on insects and can often be seen on the ground searching for ants.
Northern Fulmar, The Northern Fulmar is a seabird found in the North Atlantic and North Pacific Oceans. It has a white body and gray wings; and is known for its distinctive tube-like nostrils. These birds feed on fish and other marine life.
Northern Gannet, The Northern Gannet is a large seabird found in the North Atlantic. It has a white body and black-tipped wings; and is known for its spectacular diving ability. These birds feed on fish and can dive up to 60 meters to catch their prey.
Northern Goshawk, The Northern Goshawk is a large bird of prey found throughout North America and Eurasia. It has a gray body and a distinctive black cap on its head. These birds feed on small mammals and birds and are known for their speed and agility in flight.
Northern Jacana, The Northern Jacana is a wading bird found in the Americas. It has long; slender legs and is known for its ability to walk on lily pads and other aquatic plants. These birds feed on insects and small invertebrates.
Northern Mockingbird, A medium-sized songbird found across much of North America; the Northern Mockingbird is known for its ability to mimic the songs of other birds and sounds in its environment.
Northern Parula, A small; brightly colored songbird found in the eastern United States and Canada; the Northern Parula is known for its distinctive blue-gray back and bright yellow throat.
Northern Red Bishop, A small; brightly colored bird native to southern Africa; the Northern Red Bishop is known for its bright red breeding plumage and elaborate courtship displays.
Northern Shoveler, A medium-sized dabbling duck found in North America; Europe; and Asia; the Northern Shoveler is named for its distinctive; shovel-shaped bill; which it uses to filter food from the water.
Ocellated Turkey, A large; colorful turkey native to the Yucatan Peninsula in Mexico and parts of Central America; Ocellated Turkey is known for its distinctive blue-green and bronze plumage and iridescent feathers.
